Begriffe,Website-Text,Website-Verlinkung,Quellen,Allgemeine Begrifflichkeiten,Psychische Gewalt,Körperliche Gewalt,Gewalt in der Arbeitswelt ,Häusliche Gewalt ,Digitale Gewalt 
Bossing,"Bossing ist entsprechend dem Ausdruck für die über einen längeren Zeitraum vorgenommenen feindlichen, systematischen, häufig nicht immer erkennbaren Handlungen von Vorgesetzten (»Bossen«) gegenüber Untergebenen, um sie loszuwerden.",https://www.bpb.de/kurz-knapp/lexika/lexikon-der-wirtschaft/18930/bossing/,Vgl. Bundesuentrale für politische Bildung 2016,,,,x,,
Catcalling,"Unter Catcalling versteht man die sexuelle Belästigung ohne Körperkontakt. Gemeint sind damit sexuell besetzte Verhaltensweisen gegenüber dem anderen Geschlecht wie zum Beispiel anzügliche Bemerkungen, Hinterherpfeifen etc. Betroffen sind dabei überwiegend Frauen.",https://www.stuttgarter-nachrichten.de/inhalt.was-bedeutet-catcalling-mhsd.762e4460-fa34-4aa0-861a-8b5a1b083400.html,"Vgl. Stuttgarter Nachrichten 09.10.2023, Was bedeutet Catcalling?",x,,,,,
consent,"Bei consent (sexueller Konsens) geht es darum zu fragen, was das Gegenüber möchte, und sich die Zustimmung, also den Konsens, einzuholen. Die Idee der Zustimmung ist einfach: Um Sex zu haben, müssen wir wissen, dass die Person, mit der wir Sex haben möchten, auch Sex mit uns haben will. Das bedeutet, dass wir verbal oder nonverbal mit der Partner*in kommunizieren und dafür sorgen, dass alle sexuellen Aktivitäten mit voller gegenseitiger Zustimmung stattfinden. Dabei gilt es, folgende Punkte zu beachten: Alle beteiligten Personen haben die Freiheit, Ja oder Nein zu sagen oder zu äussern. Zustimmung kann nicht mit Druck, Gewalt oder Manipulation erzwungen werden. Jede Person kann ihre Meinung jederzeit ändern, auch wenn sie zuvor zugestimmt hat. Alle involvierten Personen müssen bei jeder Handlung genau wissen, wozu sie ihr Einverständnis geben. Beim Sex sollen alle involvierten Personen nur tun, was sie tun wollen, und nichts tun müssen, weil sie sich verpflichtet fühlen. Für jede sexuelle Handlung braucht es die Zustimmung. «Ja» zu einer Handlung sagen (z.B. ins Schlafzimmer gehen und küssen) bedeutet nicht, auch ein «Ja» zu einer anderen Handlung gegeben zu haben (z.B. Sex haben).",https://www.amnesty.ch/de/themen/frauenrechte/sexualisierte-gewalt/gegenseitige-zustimmung,"Vgl. Amnestiy International Schweiz 2022, Konsens in sexuellen Beziheungen - Worum geht es?",x,x,x,,,
Cybermobbing,"Unter Cyberbullying oder Cybermobbing versteht man die Beleidigung, Bedrohung, Bloßstellung oder Belästigung von Personen mithilfe von Kommunikationsmedien, beispielsweise über Smartphones, E-Mails, Websites, Foren, Chats und Communities. Das ""Cybermobbing"" oder auch ""Cyberbullying"", also das Mobbing im Internet, kann zum Beispiel in Chats, Foren und per E-Mail passieren, aber auch in Social Communities wie Facebook und Instagram und auf Videoplattformen wie Youtube, auch wenn die Betreiber diesen Seiten sich bemühen, gegen Mobbingattacken vorzugehen und Diffamierungen schnell zu löschen.",https://www.bmfsfj.de/bmfsfj/themen/kinder-und-jugend/medienkompetenz/was-ist-cybermobbing--86484,"Vgl. BMFSFJ 2019, Was ist Cybermobbing?",,,,,,x
Cybergrooming,"Beim Cybergrooming suchen Personen über das Internet Kontakt zu Kindern und Jugendlichen, um diese sexuell zu belästigen, zum Bildertausch oder zu Treffen zu überreden. In sozialen Netzwerken, in Chat-Foren oder bei Online-Spielen können Jungen und Mädchen von anderen in sexueller Weise angesprochen werden. Die Täterinnen und Täter nutzen zunächst harmlose Kontaktmöglichkeiten, um Kontakt zu Kindern und Jugendlichen herzustellen. Manche Personen tun dies mit dem Ziel, die angesprochenen Minderjährigen zu belästigen, sie zu sexuellen Handlungen zu bewegen oder zum Versand von Nacktbildern aufzufordern.",https://www.polizei-beratung.de/themen-und-tipps/gefahren-im-internet/cybergrooming/,Vgl. Polizei-Beratung ,,,,,,x
Diskriminierung,"Das Allgemeine Gleichbehandlungsgesetz (AGG) spricht nicht von Diskriminierung sondern von Benachteiligung, da nicht jede unterschiedliche Behandlung, die einen Nachteil zur Folge hat, diskriminierend sein muss. In sehr engen Grenzen sind unterschiedliche Behandlungen in Bezug auf das Berufsleben zulässig, wenn die geforderte Eigenschaft für die Ausübung der Tätigkeit wesentlich und fast unerlässlich ist. Eine unmittelbare (direkte oder offene) Benachteiligung liegt vor, wenn eine Person eine weniger günstige Behandlung als eine Vergleichsperson erfährt, erfahren hat oder erfahren würde. Das ist zum Beispiel der Fall, wenn eine Person mit Migrationshintergrund trotz gleicher Qualifikationen nicht zu einem Bewerbungsgespräch eingeladen wird, Personen ohne Migrationshintergrund hingegen schon.",https://www.antidiskriminierungsstelle.de/DE/ueber-diskriminierung/was-ist-diskriminierung/was-ist-diskriminierung-node.html,"Vgl. Antidiskriminierungsstelle des Bundes, Was ist Diskriminierung?",x,,,,,
Digitale Gewalt ,"Bei digitaler Gewalt greifen Täter und Täterinnen im Internet an - per Chat, E-Mail oder in sozialen Netzwerken. Besonders häufig sind Frauen und Mädchen betroffen. Bei digitaler Gewalt geht es den meisten Tatpersonen darum, die ausgewählte Person zu ängstigen oder zum Schweigen zu bringen. Sie wollen sie herabsetzen, ihren Ruf schädigen, sie sozial isolieren, zu einem bestimmten Verhalten nötigen oder erpressen. Dafür nutzen sie das Internet oder verschaffen sich zum Beispiel direkt Zugriff auf das Mobiltelefon oder den Computer des Opfers. Digitale und analoge Gewalt gehören eng zusammen. So berichten viele Schutzeinrichtungen, dass sich Stalking oder häusliche Gewalt fast immer auch über Messenger, E-Mails oder Soziale Medien vollzieht. Denn digitale Medien schaffen für Gewalt völlig neue Räume: Die Täter und Täterinnen sind rund um die Uhr online und können dabei anonym bleiben. Über soziale Medien erreichen sie ein großes Publikum.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",,,,,,x
Ehrenmorde,"Unter Gewalt im Namen der ""Ehre"" werden gewalttätige Handlungen verstanden, die Täter damit begründen, die ""Familienehre"" aufrechterhalten oder wiederherstellen zu wollen. Diese Form der Gewalt beginnt oftmals mit emotionalem Druck und Erpressung. Sie kann darüber hinaus aber auch Formen von körperlicher und sexualisierter Gewalt annehmen, bis hin zu Zwangsverheiratungen und Mord, der dann als ""Ehrenmord"" bezeichnet wird. Auch Männer, die sich nicht an traditionelle Rollenzuschreibungen gebunden fühlen oder homosexuell sind, werden Opfer von Ehrenmorden. Gewalt im Namen der ""Ehre"" kommt in besonders patriarchalischen und abgeschotteten Familienstrukturen vor. Frauen gelten dort als Besitz. Die ""Ehre"" der Männer hängt vom ""richtigen"" Verhalten der Mädchen und Frauen in der Familie ab. Seinen symbolischen Ausdruck findet dieses ""richtige"" Verhalten in der Kontrolle des weiblichen Körpers und der weiblichen Sexualität.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",,,x,,,
emotionale Gewalt,"Emotionale Gewalt ist eine andere Bezeichnung für psychische Gewalt und beschreibt alle Formen der emotionalen Schädigung und Verletzung einer Person und hat viele Dimensionen. Dazu zählen Einschüchterungen, aggressives Anschreien, Verleumdungen, Drohungen und Demütigungen bis hin zu Psychoterror.",https://www.frauen-gegen-gewalt.de/de/infothek/psychische-gewalt/merkmale-und-tatsachen.html,"Vgl. bff Frauen gegen Gewalt e.V., Psychische Gewalt - Merkmale und Tatsachen",,x,,,,
Femizide,"Die Tötung von Frauen wegen ihres Geschlechts oder wegen bestimmter Vorstellungen von Weiblichkeit wird als Femizid oder Feminizid bezeichnet. Femizide sind durch hierarchische Geschlechterverhältnisse motiviert sind und resultieren aus ungleichen Machtstrukturen, in welchen patriarchale Geschlechterrollen oder Denkweisen verwurzelt sind, und Frauen und Mädchen untergeordnet werden.",https://frauenrechte.de/fileadmin/Redaktion/Unsere_Arbeit/Gewalt_im_Namen_der_Ehre/GNE_Materialien/2022_Femizid_Ehrenmord_Definition.pdf,"Vgl. Yamina Lourghi/Elisabeth Gernhardt: Femizid oder ""Ehren""-Mord? EIne Begriffsdefinition ",,,x,,,
