Begriffe,Website-Text,Website-Verlinkung,Quellen,Zusatz-Link-Text,Zusatz-Link-URL,Allgemeine Begrifflichkeiten,Psychische Gewalt,Körperliche Gewalt,Gewalt in der Arbeitswelt,Häusliche Gewalt,Digitale Gewalt
Bossing,"Bossing steht für die über einen längeren Zeitraum vorgenommenen feindlichen, systematischen, häufig nicht sofort erkennbaren Handlungen von Vorgesetzten (»Bossen«) gegenüber Untergebenen, um sie loszuwerden. Die einzelnen Formen von Bossing sind oftmals nicht klar von anderen Gewaltformen abzugrenzen. Eine umfassende Übersicht enthält der Katalog der 100 Mobbinghandlungen nach Esser & Wolmerath (der Personalrat 2000, S. 448)",https://www.bpb.de/kurz-knapp/lexika/lexikon-der-wirtschaft/18930/bossing/,Vgl. Bundeszentrale für politische Bildung 2016,Zum Katalog der 100 Mobbinghandlungen,https://www.anti-mobbing-zollernalb.de/files/Katalog-der-100-Mobbing-Handlungen-Esser-Wolmerath.pdf,,,,x,,
Catcalling,"Catcalling meint das Hinterherrufen oder -pfeifen einer Person im öffentlichen Raum. Auch Hupen, Sprüche, Geräusche oder andere unerwünschte Äußerungen zählen hierzu. Diese finden nicht auf eine respektvolle Weise statt und sind häufig sexuell aufgeladen.",https://praxistipps.focus.de/was-ist-catcalling-einfach-erklaert_129851,"Vgl. FOCUS Online 2021, Was ist Catcalling? Einfach erklärt. ",,,x,,,,,
Cybermobbing,"Unter Cyberbullying oder Cybermobbing versteht man die Beleidigung, Bedrohung, Bloßstellung oder Belästigung von Personen mithilfe von Kommunikationsmedien, beispielsweise über Smartphones, E-Mails, Websites, Foren, Chats und Communities.",https://www.bmfsfj.de/bmfsfj/themen/kinder-und-jugend/medienkompetenz/was-ist-cybermobbing--86484,"Vgl. BMFSFJ 2019, Was ist Cybermobbing?",,,,,,,,x
Consent,"Bei consent (sexueller Konsens) geht es darum zu fragen, was das Gegenüber möchte, und sich die Zustimmung, also den Konsens, einzuholen. Die Idee der Zustimmung ist einfach: Um Sex zu haben, müssen wir wissen, dass die Person, mit der wir Sex haben möchten, auch Sex mit uns haben will. Das bedeutet, dass wir verbal oder nonverbal mit der Partner*in kommunizieren und dafür sorgen, dass alle sexuellen Aktivitäten mit voller gegenseitiger Zustimmung stattfinden.",https://www.amnesty.ch/de/themen/frauenrechte/sexualisierte-gewalt/gegenseitige-zustimmung,"Vgl. Amnestiy International Schweiz 2022, Konsens in sexuellen Beziheungen - Worum geht es?",,,,,,,,
Cybergrooming,"Beim Cybergrooming suchen Personen über das Internet Kontakt zu Kindern und Jugendlichen, um diese sexuell zu belästigen, zum Bildertausch oder zu Treffen zu überreden. Manche Personen tun dies mit dem Ziel, die angesprochenen Minderjährigen zu belästigen, sie zu sexuellen Handlungen zu bewegen oder zum Versand von Nacktbildern aufzufordern.",https://www.polizei-beratung.de/themen-und-tipps/gefahren-im-internet/cybergrooming/,Vgl. Polizei-Beratung ,,,,,,,,x
Diskriminierung,"Das Allgemeine Gleichbehandlungsgesetz (AGG) spricht nicht von Diskriminierung sondern von Benachteiligung. Nicht jede unterschiedliche Behandlung, die einen Nachteil zur Folge hat, muss diskriminierend sein. Eine unmittelbare (direkte oder offene) Benachteiligung liegt vor, wenn eine Person eine weniger günstige Behandlung als eine Vergleichsperson erfährt. Das ist zum Beispiel der Fall, wenn eine Person mit Migrationshintergrund trotz gleicher Qualifikationen nicht zu einem Bewerbungsgespräch eingeladen wird, Personen ohne Migrationshintergrund hingegen schon.",https://www.antidiskriminierungsstelle.de/DE/ueber-diskriminierung/was-ist-diskriminierung/was-ist-diskriminierung-node.html,"Vgl. Antidiskriminierungsstelle des Bundes, Was ist Diskriminierung?",,,x,,,,,
Digitale Gewalt ,"Bei digitaler Gewalt greifen Täter:innen im Internet an - per Chat, E-Mail oder in sozialen Netzwerken. Bei digitaler Gewalt geht es den meisten Tatpersonen darum, die ausgewählte Person zu ängstigen oder zum Schweigen zu bringen. Dafür nutzen sie das Internet oder verschaffen sich zum Beispiel direkt Zugriff auf das Mobiltelefon oder den Computer des Opfers.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",,,,,,,,x
Ehrenmorde,"Unter Gewalt im Namen der ""Ehre"" werden gewalttätige Handlungen verstanden, die Täter damit begründen, die ""Familienehre"" aufrechterhalten oder wiederherstellen zu wollen. Diese Form der Gewalt beginnt oftmals mit emotionalem Druck und Erpressung. Sie kann darüber hinaus aber auch Formen von körperlicher und sexualisierter Gewalt annehmen, bis hin zu Zwangsverheiratungen und Mord, der dann als ""Ehrenmord"" bezeichnet wird.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",,,,,x,,,
Femizide,Die Tötung von Frauen wegen ihres Geschlechts oder wegen bestimmter Vorstellungen von Weiblichkeit wird als Femizid oder Feminizid bezeichnet. Femizide sind durch hierarchische Geschlechterverhältnisse motiviert und resultieren aus ungleichen Machtstrukturen.,https://frauenrechte.de/fileadmin/Redaktion/Unsere_Arbeit/Gewalt_im_Namen_der_Ehre/GNE_Materialien/2022_Femizid_Ehrenmord_Definition.pdf,"Vgl. Yamina Lourghi/Elisabeth Gernhardt: Femizid oder ""Ehren""-Mord? EIne Begriffsdefinition ",,,,,x,,,
Gaslighting,"Der Begriff „Gaslighting“ bezeichnet eine Methode der psychischen Gewalt, bei der die Opfer so stark durch Lügen, Leugnen und Einschüchterungstaktiken manipuliert werden. Das Heimtückische beim „Gaslighting“: eine Lüge hier, eine Lüge da, ab und zu ein abfälliger Kommentar. Die stete Kritik am Handeln oder Aussehen, die Einschüchterungen und Versteckspiele haben über die Dauer verheerende Folgen: Der oder die Betroffene misstraut der eigenen Wahrnehmung, wird zunehmend verwirrt und emotional erschöpft. ",https://www.barmer.de/gesundheit-verstehen/psyche/psychische-gesundheit/gaslighting-1072304,"Vgl. Barmer, Psychische Gesundheit - Gaslighting - so erkennt man die gezielte Manipulation",,,x,x,,,,
